RIS_name,mouse_symbol,Product,MGI,mouse_chr,retrovirus,transposon
ND,0610007C21Rik,RIKEN cDNA 0610007C21 gene,MGI:1918918,chr5,1,0
ND,0610007L01Rik,RIKEN cDNA 0610007L01 gene,MGI:1918917,chr5,1,0
ND,0610007P08Rik,RIKEN cDNA 0610007P08 gene,MGI:1923501,chr13,0,1
ND,0610009D07Rik,RIKEN cDNA 0610009D07 gene,MGI:1913305,chr12,1,0
Casvis8,0610009O03Rik,RIKEN cDNA 0610009O03 gene,MGI:1915544,chr5,2,0
ND,0610009O20Rik,RIKEN cDNA 0610009O20 gene,MGI:1914089,chr18,2,0
ND,0610011L14Rik,RIKEN cDNA 0610011L14 gene,MGI:1915545,chr2,1,0
ND,0610012D17Rik,RIKEN cDNA 0610012D17 gene,MGI:1913311,chr16,1,0
ND,0610013E23Rik,RIKEN cDNA 0610013E23 gene,MGI:1924142,chr11,1,0
ND,0610025P10Rik,RIKEN cDNA 0610025P10 gene,MGI:1921092,chr11,1,0
ND,0610038D11Rik,RIKEN cDNA 0610038D11 gene,MGI:1914924,chr19,1,0
ND,0610040J01Rik,RIKEN cDNA 0610040J01 gene,MGI:1923511,chr5,1,0
ND,0710005I19Rik,RIKEN cDNA 0710005I19 gene,MGI:1918941,chr7,1,0
ND,1100001E04Rik,RIKEN cDNA 1100001E04 gene,MGI:1922654,chrX,0,1
Casvis25,1100001G20Rik,RIKEN cDNA 1100001G20 gene,MGI:1913357,chr11,1,0
Dkmi18,1110001D15Rik,RIKEN cDNA 1110001D15 gene,MGI:1915803,chr9,1,0
ND,1110003E01Rik,RIKEN cDNA 1110003E01 gene,MGI:1915802,chr5,2,0
ND,1110005A03Rik,RIKEN cDNA 1110005A03 gene,MGI:1921569,chr11,1,0
ND,1110007A13Rik,RIKEN cDNA 1110007A13 gene,MGI:1920977,chr7,1,0
ND,1110007M04Rik,RIKEN cDNA 1110007M04 gene,MGI:1915743,chr4,0,1
ND,1110012J17Rik,RIKEN cDNA 1110012J17 gene,MGI:1915867,chr17,1,0
ND,1110014K08Rik,RIKEN cDNA 1110014K08 gene,MGI:1914635,chr11,1,0
ND,1110018G07Rik,RIKEN cDNA 1110018G07 gene,MGI:1915747,chr12,0,1
ND,1110018J18Rik,RIKEN cDNA 1110018J18 gene,MGI:1913379,chr13,0,1
ND,1110028C15Rik,RIKEN cDNA 1110028C15 gene,MGI:1915941,chr1,0,1
ND,1110031B06Rik,RIKEN cDNA 1110031B06 gene,MGI:1915076,chr11,1,0
ND,1110034B05Rik,RIKEN cDNA 1110034B05 gene,MGI:1915986,chr1,1,1
ND,1110036O03Rik,RIKEN cDNA 1110036O03 gene,MGI:1913430,chr11,1,0
ND,1110038D17Rik,RIKEN cDNA 1110038D17 gene,MGI:1916028,chr10,1,0
ND,1110051M20Rik,RIKEN cDNA 1110051M20 gene,MGI:1915079,chr2,0,1
ND,1110059G10Rik,RIKEN cDNA 1110059G10 gene,MGI:1913452,chr9,0,1
ND,1190002H23Rik,RIKEN cDNA 1190002H23 gene,MGI:1913464,chr14,1,0
Btl10,1200004M23Rik,RIKEN cDNA 1200004M23 gene,MGI:1914707,chr19,3,0
ND,1200009O22Rik,RIKEN cDNA 1200009O22 gene,MGI:1914123,chr6,1,0
ND,1300002K09Rik,RIKEN cDNA 1300002K09 gene,MGI:1921402,chr4,1,0
ND,1300003B13Rik,RIKEN cDNA 1300003B13 gene,MGI:1921399,chr17,1,0
ND,1300007F04Rik,RIKEN cDNA 1300007F04 gene,MGI:1914727,chr11,1,0
ND,1300014I06Rik,RIKEN cDNA 1300014I06 gene,MGI:1914145,chr13,1,0
ND,1300018I05Rik,RIKEN cDNA 1300018I05 gene,MGI:1921407,chr17,1,0
ND,1500002O20Rik,RIKEN cDNA 1500002O20 gene,MGI:1919247,chr7,1,0
ND,1500032D16Rik,RIKEN cDNA 1500032D16 gene,MGI:1925580,chr17,1,0
